AttractionId,Attraction,AttractionTypeBroad,AttractionCityName,AttractionCountry,AttractionAddress,RecommendationScore,HistoricalVisitCount,HistoricalAverageRating
841,Waterbom Bali,Water Park,Douala,Cameroon,"Jl. Kartika Plaza, Kuta 80361 Indonesia",0.1,6429,4.646601337688598
947,Mount Semeru Volcano,Nature,South Region,Cameroon,Malang Lumajang,0.09580608003186197,83,4.698795180722891
888,Bromo Tengger Semeru National Park,Park,South Region,Cameroon,"Asrikaton - Pakis, Malang 65100 Indonesia",0.09541285643844133,381,4.611548556430447
1133,Jomblang Cave,Nature,N'Djamena,Chad,"Jetis Wetan, Pacarejo, Semanu 55581 Indonesia",0.08480868666989004,135,4.503703703703704
928,Khayangan Reflexology & Massage,Spa,South Region,Cameroon,Malang,0.07990761364959414,28,4.571428571428571
481,Nusa Dua Beach,Beach,Douala,Cameroon,"Semenanjung Nusa Dua, Nusa Dua 80517 Indonesia",0.06974181751304585,2104,4.275665399239544
920,Jodipan Colorful Village,Neighborhood,South Region,Cameroon,"Gang 1 Jodipan, Kesatrian, Kec. Blimbing, Malang 65126 Indonesia",0.06920907947059794,44,4.318181818181818
640,Sacred Monkey Forest Sanctuary,Nature,Douala,Cameroon,"Jl. Monkey Forest, Ubud 80571 Indonesia",0.06911839569266866,13198,4.267085922109411
1278,Ullen Sentalu Museum,Museum,N'Djamena,Chad,"Jl. Boyong Taman Wisata, 55581 Indonesia",0.06811745856309828,978,4.2566462167689165
824,Uluwatu Temple,Religious,Douala,Cameroon,"Jl. Raya Uluwatu Southern part of Bali, Pecatu 80361 Indonesia",0.06520882673199473,3359,4.219410538850848
