AttractionId,Attraction,AttractionTypeLabel,visits,avg_rating
640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,13198,4.267
841,Waterbom Bali,Water Parks,6429,4.647
748,Tegalalang Rice Terrace,Points of Interest & Landmarks,5815,4.158
824,Uluwatu Temple,Religious Sites,3359,4.219
737,Tanah Lot Temple,Religious Sites,3352,4.195
650,Sanur Beach,Beaches,3044,3.976
673,Seminyak Beach,Beaches,2914,3.801
369,Kuta Beach - Bali,Beaches,2765,3.415
1171,Merapi Volcano,Volcanos,2235,4.079
749,Tegenungan Waterfall,Waterfalls,2190,3.895
481,Nusa Dua Beach,Beaches,2104,4.276
1166,Malioboro Road,Flea & Street Markets,1324,3.869
1278,Ullen Sentalu Museum,History Museums,978,4.257
1297,Yogyakarta Palace,Historic Sites,798,3.539
888,Bromo Tengger Semeru National Park,National Parks,381,4.612
