AttractionId,AttractionCityId,Attraction,AttractionAddress,AttractionTypeRaw,AttractionTypeNumericId,AttractionTypeLabel,AttractionTypeBroad,AttractionCityName,AttractionCountryId,AttractionCountry,AttractionRegionId,AttractionRegion,AttractionContinentId,AttractionContinent,HistoricalVisitCount,HistoricalAverageRating
369,1,Kuta Beach - Bali,Kuta,13,13,Beaches,Beach,Douala,1,Cameroon,1,Central Africa,1,Africa,2765,3.4151898734177215
481,1,Nusa Dua Beach,"Semenanjung Nusa Dua, Nusa Dua 80517 Indonesia",13,13,Beaches,Beach,Douala,1,Cameroon,1,Central Africa,1,Africa,2104,4.275665399239544
640,1,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",63,63,Nature & Wildlife Areas,Nature,Douala,1,Cameroon,1,Central Africa,1,Africa,13198,4.267085922109411
650,1,Sanur Beach,Sanur,13,13,Beaches,Beach,Douala,1,Cameroon,1,Central Africa,1,Africa,3044,3.97634691195795
673,1,Seminyak Beach,Seminyak,13,13,Beaches,Beach,Douala,1,Cameroon,1,Central Africa,1,Africa,2914,3.800617707618394
737,1,Tanah Lot Temple,"Kecamatan Kediri, Kabupaten Tabanan, Beraban 82121 Indonesia",76,76,Religious Sites,Religious,Douala,1,Cameroon,1,Central Africa,1,Africa,3352,4.19480906921241
748,1,Tegalalang Rice Terrace,"Jalan Raya Ceking, Tegalalang 80517 Indonesia",72,72,Points of Interest & Landmarks,Landmark,Douala,1,Cameroon,1,Central Africa,1,Africa,5815,4.157523645743766
749,1,Tegenungan Waterfall,"Jl. Raya Tegenungan, Kemenuh, Ubud 80581 Indonesia",93,93,Waterfalls,Nature,Douala,1,Cameroon,1,Central Africa,1,Africa,2190,3.895433789954338
824,1,Uluwatu Temple,"Jl. Raya Uluwatu Southern part of Bali, Pecatu 80361 Indonesia",76,76,Religious Sites,Religious,Douala,1,Cameroon,1,Central Africa,1,Africa,3359,4.219410538850848
841,1,Waterbom Bali,"Jl. Kartika Plaza, Kuta 80361 Indonesia",92,92,Water Parks,Water Park,Douala,1,Cameroon,1,Central Africa,1,Africa,6429,4.646601337688598
877,2,Balekambang Beach,Malang District,13,13,Beaches,Beach,South Region,1,Cameroon,1,Central Africa,1,Africa,36,4.027777777777778
888,2,Bromo Tengger Semeru National Park,"Asrikaton - Pakis, Malang 65100 Indonesia",61,61,National Parks,Park,South Region,1,Cameroon,1,Central Africa,1,Africa,381,4.611548556430447
897,2,Coban Rondo Waterfall,Malang District,93,93,Waterfalls,Nature,South Region,1,Cameroon,1,Central Africa,1,Africa,55,3.963636363636364
913,2,Goa Cina Beach,"Dusun Trowotratih, Desa Sitiarjo Kecamatan Sumbermanjing Wetan, Malang 65111 Indonesia",13,13,Beaches,Beach,South Region,1,Cameroon,1,Central Africa,1,Africa,54,4.092592592592593
920,2,Jodipan Colorful Village,"Gang 1 Jodipan, Kesatrian, Kec. Blimbing, Malang 65126 Indonesia",64,64,Neighborhoods,Neighborhood,South Region,1,Cameroon,1,Central Africa,1,Africa,44,4.318181818181818
928,2,Khayangan Reflexology & Massage,Malang,82,82,Spas,Spa,South Region,1,Cameroon,1,Central Africa,1,Africa,28,4.571428571428571
937,2,Malang City Square,"Jl. Merdeka Utara, Malang 65119 Indonesia",72,72,Points of Interest & Landmarks,Landmark,South Region,1,Cameroon,1,Central Africa,1,Africa,64,3.578125
947,2,Mount Semeru Volcano,Malang Lumajang,91,91,Volcanos,Nature,South Region,1,Cameroon,1,Central Africa,1,Africa,83,4.698795180722891
949,2,Museum Malang Tempo Doeloe,"Jl. Gajahmada no. 2, Malang 65119 Indonesia",84,84,Speciality Museums,Museum,South Region,1,Cameroon,1,Central Africa,1,Africa,31,4.032258064516129
975,2,Sempu Island,"Sumber Manjing Wetan, Malang 65111 Indonesia",63,63,Nature & Wildlife Areas,Nature,South Region,1,Cameroon,1,Central Africa,1,Africa,53,4.2075471698113205
1133,3,Jomblang Cave,"Jetis Wetan, Pacarejo, Semanu 55581 Indonesia",19,19,Caverns & Caves,Nature,N'Djamena,2,Chad,1,Central Africa,1,Africa,135,4.503703703703704
1137,3,Kalibiru National Park,Kulon Progo,61,61,National Parks,Park,N'Djamena,2,Chad,1,Central Africa,1,Africa,130,3.8461538461538463
1166,3,Malioboro Road,Yogyakarta,34,34,Flea & Street Markets,Market,N'Djamena,2,Chad,1,Central Africa,1,Africa,1324,3.869335347432024
1171,3,Merapi Volcano,Yogyakarta,91,91,Volcanos,Nature,N'Djamena,2,Chad,1,Central Africa,1,Africa,2235,4.079194630872483
1220,3,Ramayana Ballet at Prambanan,Sleman,10,10,Ballets,Culture,N'Djamena,2,Chad,1,Central Africa,1,Africa,377,4.180371352785146
1225,3,Ratu Boko Temple,Yogyakarta,2,2,Ancient Ruins,Historic,N'Djamena,2,Chad,1,Central Africa,1,Africa,204,3.9362745098039214
1238,3,Sewu Temple,Yogyakarta,2,2,Ancient Ruins,Historic,N'Djamena,2,Chad,1,Central Africa,1,Africa,377,4.1246684350132625
1278,3,Ullen Sentalu Museum,"Jl. Boyong Taman Wisata, 55581 Indonesia",45,45,History Museums,Museum,N'Djamena,2,Chad,1,Central Africa,1,Africa,978,4.2566462167689165
